request_id,product_id,issue_description,status,request_date
SR065,P065,Air fryer app cannot find device,In Progress,2026-06-28
SR066,P066,Charging pad gets unusually warm,Resolved,2026-03-12
SR067,P067,Speaker Bluetooth disconnects often,Open,2026-06-17
SR068,P068,Camping stove flame uneven,Closed,2026-05-11
SR069,P069,Pressure washer hose coupling leaks,In Progress,2026-06-23
SR070,P070,Grinder produces uneven grounds,Resolved,2026-04-24
SR071,P071,Desk organizer drawer sticks,Closed,2026-02-14
SR072,P072,Monitor stand wobbles on desk,Open,2026-06-20
SR073,P073,Pet feeder dispenses double portions,In Progress,2026-06-16
SR074,P074,LED strip adhesive coming loose,Resolved,2026-05-18
SR075,P075,Picture frame not reading USB drive,Open,2026-06-05
SR076,P076,Smart backpack charging port loose,In Progress,2026-06-22
SR077,P077,Stand mixer makes grinding sound,Open,2026-06-14
SR078,P078,Hair straightener temperature display blank,Resolved,2026-04-07
SR079,P079,Massage gun stalls on high setting,Open,2026-06-26
SR080,P080,Cycling shoe buckle cracked,Closed,2026-05-09
SR081,P081,Curtains missing mounting hooks,Resolved,2026-03-05
SR082,P082,Water pitcher lid does not seal,Open,2026-06-02
SR083,P083,Helmet rear light not working,In Progress,2026-06-25
SR084,P084,Pan stirrer arm stops rotating,Resolved,2026-04-29
SR085,P085,Thermometer readings vary widely,Open,2026-06-11
SR086,P086,Pet bed zipper broke,Closed,2026-05-26
SR087,P087,Guitar pickup output weak,In Progress,2026-06-18
SR088,P088,Running shoe sole separating,Open,2026-06-27
SR089,P089,Kitchen scale buttons sticking,Resolved,2026-03-17
SR090,P090,Gas grill burner will not ignite,Open,2026-06-29
SR091,P091,Ice maker produces cloudy ice,In Progress,2026-06-21
SR092,P092,Window shades stop halfway down,Open,2026-06-13
SR093,P093,Scooter brakes squeal loudly,Resolved,2026-05-20
SR094,P094,Facial steamer nozzle clogged,Closed,2026-04-02
SR095,P095,Gaming mouse side button not registering,Open,2026-06-08
SR096,P096,Smart kitchen scale app sync failed,In Progress,2026-06-24
SR097,P097,Dishwasher leaves soap residue,Open,2026-06-15
SR098,P098,Training collar remote range too short,Resolved,2026-05-13
SR099,P099,Garden shears arrived dull,Closed,2026-03-27
SR100,P100,Rice cooker voice prompts not playing,Open,2026-06-20
